question,context,answer_start,answer
Đảo nào có diện tích lớn nhất trên QĐ. Trường Sa,"Quần đảo Hoàng Sa và quần đảo Trung Sa nằm ở đông nam đảo Hải Nam. Quần đảo Trung Sa chủ yếu là các bãi ngập nước, ngoại trừ đảo Hoàng Nham có một phần nổi trên mặt biển. Quần đảo Trường Sa có khoảng 22 hòn đảo, diện tích đất liền khoảng 8 km2, trong đó Phú Lâm là đảo lớn nhất. Quần đảo Trường Sa nằm ở phía nam của Biển Đông, gồm nhiều nhóm đảo, đá, bãi ngầm, cồn cát khác nhau, có diện tích khoảng 2 km2; Trường Sa có điểm cực nam của Trung Quốc là bãi ngầm James (Trung Quốc gọi là bãi ngầm Tăng Mẫu).",254,Phú Lâm
danh tướng giúp nhà hậu trần đánh giặc minh,Nguyễn Cảnh Dị là một trong những danh tướng của nhà Hậu Trần chống giặc Minh .,0,Nguyễn Cảnh Dị
hồ Xuân Hương ở Đà Lạt được đặt tên từ năm nào,Hồ được mang tên Xuân Hương từ năm 1953 như muốn làm sống mãi hình ảnh lãng mạn của nữ sĩ thơ Nôm người Việt Nam thế kỉ thứ 19: Hồ Xuân Hương,31,năm 1953
Quốc gia nào sử dụng nhiều loại ngôn ngữ nhất trên thế giới,"Với con số trung bình chỉ 7,000 người sử dụng trên mỗi ngôn ngữ , Papua New Guinea có sự đa dạng ngôn ngữ lớn hơn bất kỳ một quốc gia nào khác trên thế giới ngoại trừ Vanuatu .",66,Papua New Guinea
quốc hiệu của việt nam thời lý nam đế,"Thời kỳ Bắc thuộc ( 179 TCN– 938 SCN ) . Nhà Tiền Lý ( 544 – 602 ) . Năm 541 , Lý Bí nổi dậy khởi nghĩa , đã đánh đuổi được thứ sử Tiêu Tư nhà Lương , sau 3 lần đánh bại quân Lương những năm kế tiếp , Lý Bí tự xưng đế tức là Lý Nam Đế , lập ra nước Vạn Xuân vào năm 544 .",249,Vạn Xuân
sợi mì lạnh naengmyeon được làm từ loại bột nào,"Thực phẩm . Các món mì . - Naengmyeon ( 냉면 , ( Bắc Triều Tiên gọi là : 랭면 , "" Raengmyŏn "" ) , "" mì lạnh "" ) : dùng trong mùa hè , làm từ mì sợi mỏng làm từ bột kiều mạch , dùng trong bát lớn với nước súp lạnh có mùi nồng , rau sống , lê , và thường có trứng luộc hoặc bò nấu đông .",149,làm từ bột kiều mạch
Đại Lộ Đông Tây ở thành phố Hồ Chí Minh hiện đã được đổi tên thành:,"Đại lộ Võ Văn Kiệt - Mai Chí Thọ hay còn được biết nhiều hơn bởi tên gọi là Đại lộ Đông - Tây, thành phố Hồ Chí Minh là một tuyến đường đi qua trung tâm Thành phố Hồ Chí Minh, đang được khôi phục, nâng cấp từ tuyến đường hiện hữu và xây dựng thêm tuyến đường mới để tạo thành một trục đường mới ra vào phía Nam theo hướng Đông - Tây, nhằm giảm ách tắc giao thông cho cầu Sài Gòn và các trục chính trong thành phố. Tuyến đường này đáp ứng yêu cầu lưu thông cho các cảng của thành phố đi các nơi theo hướng Đông Bắc - Tây Nam và các tỉnh Đồng bằng sông Cửu Long, tạo trục giao thông sang Thủ Thiêm, và cải thiên môi trường ven kênh mà nó đi qua, tăng vẻ mỹ quan cho thành phố.",0,Đại lộ Võ Văn Kiệt - Mai Chí Thọ
bình thuận có huyện đảo nào,"Phú Quý là một huyện đảo thuộc tỉnh Bình Thuận , Duyên hải Nam Trung Bộ , Việt Nam và là một quần đảo gồm 12 đảo lớn nhỏ , nằm ngoài cùng hệ thống đảo ở cực Nam Trung Bộ .",0,Phú Quý
Triều đại quân chủ cuối cùng của lịch sử Việt Nam là gì,"Triều Nguyễn là triều đại quân chủ cuối cùng tại Việt Nam và cũng là triều đại có đầy đủ dữ liệu nhất về các chức quan và phẩm trật . Phần lớn các sách viết về triều Nguyễn đều lấy thời Minh Mạng ( 1820-1840 ) làm cột chuẩn vì thời này , quan chế và phẩm trật trong triều đình được cải tổ và chỉnh đốn rất hoàn chỉnh .",0,Triều Nguyễn
Ai là người đầu tiên đặt chân lên mặt trăng,"Neil Armstrong (5 tháng 8 năm 1930 – 25 tháng 8 năm 2012) là một phi hành gia người Mỹ, và cũng là người đầu tiên đặt chân lên Mặt Trăng vào ngày 20 tháng 7 năm 1969, trong chuyến du hành trên tàu Apollo 11 cùng Buzz Aldrin & Michael Collins. Chuyến bay đầu tiên của ông là phi công trên tàu Gemini 8 năm 1966, ông trở thành công dân Mỹ đầu tiên bay vào không gian. Trong nhiệm vụ này, ông đã thực hiện chuyến bay đầu tiên vào vũ trụ có người lái cùng với phi công David Scott. Chuyến bay thứ hai và cuối cùng Armstrong đã làm nhiệm vụ chỉ huy của phi vụ Apollo 11 hạ cánh xuống Mặt Trăng ngày 20 tháng 7 năm 1969. Thời khắc lịch sử, Armstrong và Buzz Aldrin đặt chân lên bề mặt Mặt Trăng và dành 2,5 giờ khám phá trong khi Michael Collins ở lại trên quỹ đạo trong Module Command.",0,Neil Armstrong
Tên một quần đảo của Việt Nam bị Trung Quốc chiếm trái phép,"Tháng 9 năm 1975 , Tổng Bí thư Đảng Lao động Việt Nam Lê Duẩn nêu vấn đề Hoàng Sa trong chuyến thăm Trung Quốc . Phản ứng không nhượng bộ của Trung Quốc làm lãnh đạo Việt Nam khó chịu . Ngày 15 tháng 3 năm 1979 , Bộ Ngoại giao Việt Nam công bố Bị vong lục về vấn đề biên giới Việt - Trung , trong đó lên án việc Trung Quốc đánh chiếm trái phép quần đảo Hoàng Sa của Việt Nam .",344,quần đảo Hoàng Sa
Đan Trường còn có biệt danh là gì,"Trong vai trò của mình , Đan Trường xuất hiện trong các chương trình quảng bá du lịch của Đài Loan tại Việt Nam và ngược lại . Nam ca sĩ ra mắt khán giả Đài Loan thông qua chương trình giao lưu trên sóng phát thanh truyền hình Đài Loan . Báo chí Đài Loan còn đặt cho Đan Trường biệt danh "" Bae Yong Joon Việt Nam "" ( Bae Yong Joon là một diễn viên Hàn Quốc rất nổi tiếng tại các nước châu Á ) ..",290,"Bae Yong Joon Việt Nam """
Chùa Hương thuộc huyện nào của tỉnh Hà Tây,"Trung tâm chùa Hương nằm ở xã Hương Sơn, huyện Mỹ Đức, Hà Nội, nằm ven bờ phải sông Đáy. Trung tâm của cụm đền chùa tại vùng này chính là chùa Hương nằm trong động Hương Tích hay còn gọi là chùa Trong.",41,huyện Mỹ Đức
Luiz Inácio Lula da Silva ra đời ở đâu,"Luiz Inácio da Silva sinh ngày 27 tháng 10 năm 1945 tại Caetés , một địa phương nằm cách thủ phủ Recife của bang Pernambuco 250  km . Ông là con thứ bảy trong số 8 người con của ông bà Aristides Inácio da Silva và Eurídice Ferreira de Melo .",52,tại Caetés
thành phố nào lớn nhất khu vực miền Trung,"Theo Cổng thông tin điện tử thành phố Đà Nẵng, với diện tích tự nhiên lên tới hơn 1.283 km2, dân số hơn một triệu người, Đà Nẵng là thành phố lớn nhất miền Trung. Đặc biệt, nơi đây từng được mệnh danh là “thành phố đáng sống nhất Việt Nam"".",38,Đà Nẵng
Trần Thái Tông mất năm nào,"Năm 1277 , Thượng hoàng Trần Thái Tông mất . Mùa đông ngày 22 tháng Mười âm lịch năm sau ( tức 8 tháng 11 năm 1278 ) , Trần Thánh Tông nhường ngôi cho con trai là Thái tử Trần Khâm - tức Hoàng đế Trần Nhân Tông - và lên làm Thái thượng hoàng , với tôn hiệu là Quang Nghiêu Từ Hiếu Thái Thượng Hoàng Đế .",0,Năm 1277
địa phương duy nhất của việt nam không có thị trấn,"Tỉnh có nhiều thị trấn nhất là Thanh Hoá với 30 thị trấn , tiếp theo là thành phố Hà Nội với 21 thị trấn , tỉnh Ninh Thuận chỉ có 3 thị trấn còn thành phố Đà Nẵng không có thị trấn nào .",155,Đà Nẵng
cuộc khởi nghĩa chống thực dân pháp do võ duy dương lãnh đạo diễn ra ở đâu,"Võ Duy Dương còn gọi là Thiên hộ Dương là lãnh tụ cuộc khởi nghĩa chống thực dân Pháp ở Đồng Tháp Mười , Việt Nam .",86,ở Đồng Tháp Mười
Châu lục nào có độ ẩm thấp nhất trong số các lục địa trên Trái Đất ,"Châu Nam Cực có diện tích khoảng 14.100.000 km , đứng thứ tư trên thế giới ( sau châu Á , châu Phi và châu Mỹ , lớn hơn châu Âu và châu Úc ) ; không có dân số cố định , có độ cao trung bình lớn nhất và độ ẩm thấp nhất trong số các lục địa trên Trái Đất .",0,Châu Nam Cực
Pho tượng Tuyết Sơn là tượng minh họa cho ai,"Mỹ thuật . Để truyền đạt cái chí kiên dũng của đức Thích Ca , trong nhiều ngôi chùa ở Việt Nam như chùa Bút Tháp , Bắc Ninh ; chùa Tây Phương , Hà Nội ; Chùa Keo , Thái Bình đều có đắp pho tượng Tuyết Sơn , tức thượng Thích Ca khổ hạnh , thân thể khắc khổ , chỉ còn da bọc xương .",51,Thích Ca
Truyện Kiều do ai sáng tác,"Có thuyết nói Nguyễn Du viết "" Truyện Kiều "" sau khi đi sứ Trung Quốc ( 1814 – 1820 ) . Lại có thuyết nói ông viết trước khi đi sứ , có thể vào khoảng cuối Lê đầu Tây Sơn . Thuyết sau được nhiều người chấp nhận hơn . Ngay sau khi ra đời , "" Truyện Kiều "" được nhiều nơi khắc in và lưu hành rộng rãi .",14,Nguyễn Du
vị vua nào đã đổi tên nước ta là Đại Cồ Việt sau khi lên ngôi,"Đặc điểm . Đinh Tiên Hoàng , tức Đinh Bộ Lĩnh : người đánh bại 12 sứ quân và thống nhất Việt Nam , lập ra Nhà Đinh và nước Đại Cồ Việt . 6 .",11,Đinh Tiên Hoàng
Bà Triệu là thủ lĩnh chống quân xâm lược nào,"Đền Bà Triệu là nơi thờ tự vị nữ anh hùng dân tộc Việt tên là Triệu Thị Trinh, người đã có công đánh đuổi quân xâm lược Đông Ngô (Trung Quốc) vào giữa thế kỷ thứ 3. Đền nằm trên núi Gai, ngay sát quốc lộ 1A, đoạn đi qua thôn Phú Điền, xã Triệu Lộc, huyện Hậu Lộc, tỉnh Thanh Hóa, cách thành phố Thanh Hóa 18 km về phía bắc và cách Hà Nội 137 km về phía nam.",106,quân xâm lược Đông Ngô (Trung Quốc)
Hồ Qúy Ly cho xây dựng thành nào ở Thanh Hóa,"Thành Tây Đô được xây vào năm 1397 dưới triều Trần do quyền thần Hồ Quý Ly chỉ huy, người không lâu sau (1400) lập ra nhà Hồ. Theo sử sách, thành bắt đầu xây dựng vào mùa xuân tháng 1 năm Đinh Sửu niên hiệu Quang Thái thứ 10 đời vua Thuận Tông của vương triều Trần. Người quyết định chủ trương xây dựng là Hồ Quý Ly, lúc bấy giờ giữ chức Nhập nội Phụ chính Thái sư Bình chương quân quốc trọng sự, tước Tuyên Trung Vệ quốc Đại vương, cương vị Tể tướng, nắm giữ mọi quyền lực của triều đình. Người trực tiếp tổ chức và điều hành công việc kiến tạo là Thượng thư bộ Lại Thái sử lệnh Đỗ Tỉnh (có sách chép Mẫn). Hồ Quý Ly xây thành mới ở động An Tôn (nay thuộc địa phận các xã Vĩnh Long, Vĩnh Tiến, huyện Vĩnh Lộc, tỉnh Thanh Hóa), làm kinh đô mới với tên Tây Đô, nhằm buộc triều Trần dời đô vào đấy trong mục tiêu chuẩn bị phế bỏ vương triều Trần. Tháng 3 năm Canh Thân (26-3 đến 24-4-1400), vương triều Hồ thành lập (1400- 1407) và Tây Đô là kinh thành của vương triều mới, thành Thăng Long đổi tên là Đông Đô vẫn giữ vai trò quan trọng của đất nước. Vì vậy thành Tây Đô được dân gian quen gọi là Thành nhà Hồ. Thành đá được xây dựng trong một thời gian kỷ lục, chỉ chừng 3 tháng. Các cấu trúc khác như các cung điện, rồi La Thành phòng vệ bên ngoài, đàn Nam Giao... còn được tiếp tục xây dựng và hoàn thiện cho đến năm 1402.",0,Thành Tây Đô
tỉnh nào ở miền tây có vườn quốc gia tràm chim,"Đa dạng sinh học . Hệ sinh thái động vật . Vườn quốc gia Tràm Chim , có diện tích 7.588 ha , thuộc huyện Tam Nông tỉnh Đồng Tháp . Đây là nơi cư trú của trên 100 loài động vật có xương sống , 40 loài cá và 147 loài chim nước .",114,tỉnh Đồng Tháp
Ngọn núi Bài Thơ ở tỉnh nào nước ta hiện nay,"Núi Bài Thơ là ngọn núi đá vôi đẹp thuộc thành phố Hạ Long , tỉnh Quảng Ninh . Trên núi này còn lưu lại các bài thơ chữ Hán của Lê Thánh Tông khắc trên đá năm 1468 , và của Trịnh Cương năm 1729 .",61,tỉnh Quảng Ninh
sông dài nhất thế giới,"Sông Amazon ( tiếng Tây Ban Nha : "" Río Amazonas "" ; tiếng Bồ Đào Nha : "" Rio Amazonas "" ) là một dòng sông ở Nam Mỹ . Amazon là hiện được xem là con sông dài nhất thế giới và là sông có lưu vực rộng nhất và lưu lượng nước nhiều nhất thế giới .",0,Sông Amazon
EXID là nhóm nhạc của nước nào,"Danh sách đĩa nhạc của nhóm nhạc nữ Hàn Quốc EXID bao gồm một album phòng thu , ba mini album và mười ba đĩa đơn . EXID được thành lập bới Gamgak Entertainment vào năm 2011 và hiện đang dưới sự quản lý của BANANA Culture .",36,Hàn Quốc
Trận Trân Châu Cảng diễn ra ở tiểu bang nào của Hoa Kỳ,"Trận tấn công Trân Châu Cảng là một cuộc tấn công quân sự bất ngờ được Không lực Hải quân Đế quốc Nhật Bản thực hiện nhắm vào căn cứ hải quân của Hoa Kỳ tại Trân Châu Cảng thuộc tiểu bang Hawaii vào sáng Chủ Nhật , ngày 7 tháng 12 năm 1941 , dẫn đến việc Hoa Kỳ sau đó quyết định tham gia vào hoạt động quân sự trong Chiến tranh thế giới thứ hai .",178,tiểu bang Hawaii
Cầu Kiền nằm trên đường nào,"Cầu Kiền được định vị xây dựng bến phà Kiền - Quốc lộ 10 , trên dòng sông Cấm .",46,Quốc lộ 10
theo thần thoại dionysos là con trai của vị thần nào,"Antiochos VI Dionysos là vua của đế chế Seleukos thời Hy Lạp hoá , ông là con trai của Alexandros Balas với Cleopatra Thea , con gái vua Ptolemaios VI của Ai Cập .",87,Alexandros Balas
Tỉnh nào có diện tích trồng dừa lớn nhất nước ta,"Tại Việt Nam , dừa được trồng nhiều ở nhiều nơi từ Bắc chí Nam , nhất là các vùng duyên hải . Tỉnh Bến Tre có diện tích trồng dừa lớn nhất được mệnh danh là "" xứ dừa "" .",94,Tỉnh Bến Tre
Núi Nhỏ nằm ở tỉnh nào ,"Núi Nhỏ hay còn gọi là núi Tao Phùng , có độ cao 170m , là một trong hai ngọn núi tại thành phố Vũng Tàu , tỉnh Bà Rịa – Vũng Tàu .",107,tỉnh Bà Rịa – Vũng Tàu .
Youtube thành lập năm nào,"Những tác giả cung cấp bản xem thử của trang web trước công chúng vào tháng 5 năm 2005 , sáu tháng trước khi YouTube chính thức ra mắt .",78,năm 2005
huyện đảo lớn nhất việt nam thuộc tỉnh nào,"Thống kê . - Trong số các huyện đảo , huyện Vân Đồn thuộc tỉnh Quảng Ninh có diện tích lớn nhất với 551,3 km² ( gấp gần 10 lần diện tích huyện Thanh Trì thuộc Thủ đô Hà Nội ) ; huyện Cồn Cỏ thuộc tỉnh Quảng Trị có diện tích nhỏ nhất với chỉ 2,2 km² , đồng thời là huyện có diện tích nhỏ nhất cả nước .",58,tỉnh Quảng Ninh
Quốc gia nào từng là của Ba Tư cho đến khi bị Alexandros đại đế chinh phục,Cuối đời . Ai Cập vẫn là một phần của Đế chế Ba Tư cho đến khi Alexandros Đại đế chinh phục Ai Cập .,11,Ai Cập
Con sông nào nằm ở Trung-Nam của nam mỹ,"Sông Paraná ( , ) nằm ở Trung-Nam của Nam Mỹ , chảy qua các quốc gia Brasil , Paraguay và Argentina với chiều dài khoảng .",0,Sông Paraná
"Ai đứng đầu “Tây Sơn thất hổ tướng""","Vũ Văn Dũng hay Võ Văn Dũng (chữ Hán: 武文勇) (?-1802) , là một danh tướng của nhà Tây Sơn, đứng đầu trong Tây Sơn thất hổ tướng. Ông là người được vua Quang Trung cử đi sứ vào những thời điểm quan trọng nhất, ông cũng là một trong những tướng lĩnh trung thành cuối cùng đã chiến đấu để bảo vệ sự tồn tại của vương triều Tây Sơn trong lịch sử Việt Nam.",0,Vũ Văn Dũng hay Võ Văn Dũng
tên thủ đô của myanmar là gì,"Lịch sử . Ngày 27 tháng 3 năm 2006 , hội đồng quân sự đã di chuyển thủ đô đất nước từ Yangon tới một địa điểm gần Pyinmana , đặt tên chính thức cho nó là Naypyidaw , có nghĩa "" vùng đất của những ông vua "" .",154,Naypyidaw
"tác giả cuốn sách "" Con nuôi trung đoàn "" tên là gì","Hoàn cảnh ra đời . Nhà văn Liên Xô nổi tiếng Valentin Kataev , tác giả cuốn sách "" "" Con nuôi trung đoàn "" "" nảy ra ý định tặng cho tác giả trẻ nào đó một ý tưởng viết sách hay mà ông đang ấp ủ .",45,Valentin Kataev
Ấn Độ có hai con sông nổi tiếng thế giới là sông Hằng và sông nào,Ảnh hưởng tới văn hoá . Việt Nam . Ấn Độ có hai con sông nổi tiếng thế giới là sông Ấn ( Indus ) và sông Hằng ( Gange ) và hai con sông này khai nguồn tài nguyên sức sống cho toàn thể dân tộc Ấn Độ phát triển và tồn tại .,79,sông Ấn ( Indus ) và sông Hằng ( Gange )
Anh là quốc gia đầu tiên phát minh loại thuốc nổ nào,"Trung kỳ Trung Cổ . Kỹ thuật và quân sự . Thuốc súng đã xuất hiện ở châu Âu giữa thế kỉ 13 , và ghi nhận lần đầu tiên được sử dụng trong chiến tranh là bởi người Anh trong cuộc chiến chống người Scotland năm 1304 , mặc dù thuần tuý là thuốc nổ chứ không phải vũ khí .",42,Thuốc súng
Giải vô địch bóng đá thế giới tổ chức lần đầu tiên vào năm nào,"Giải vô địch bóng đá thế giới 1934 là kỳ World Cup đầu tiên mà các đội phải hội đủ điều kiện . Tại World Cup khánh thành năm 1930 , các đội tham gia đã được FIFA mời tham dự . Khi 32 đội tham gia cuộc thi 1934 , FIFA đã tổ chức vòng loại ( hoặc sơ bộ ) để chọn 16 đội vào vòng chung kết .",30,1934
phùng hạp khanh - bố của phùng hưng - từng tham gia cuộc khởi nghĩa của ai,"Tiểu sử . Thiếu thời . Bố của Phùng Hưng là Phùng Hạp Khanh , một người hiền tài đức độ . Khoảng năm Nhâm Tuất ( 722 ) đời Đường Huyền Tông niên hiệu Khai Nguyên , Phùng Hạp Khanh đã tham gia cuộc khởi nghĩa của Mai Thúc Loan ( tức Mai Hắc Đế ) .",212,Mai Thúc Loan
tiền giang còn có loại xoài trứ danh nào,"Xoài cát Hoà Lộc là loại trái cây đặc sản của tỉnh Tiền Giang , và là sản phẩm trái cây đầu tiên của vùng đồng bằng sông Cửu Long được cấp bảo hộ chỉ dẫn địa lý .",0,Xoài cát Hoà Lộc
12 vị thần hy lạp được thờ ở ngọn núi nào,"Tên gọi và Thần thoại . Thần thoại . Trong Tôn giáo Hy Lạp cổ và thần thoại Hy Lạp , núi Ólympos là nhà của Mười hai vị thần Olympus , các vị thần chính trong đền bách thần của người Hy Lạp .",85,núi Ólympos
Tuần lễ cấp cao APEC 2017 diễn ra ở tình thành nào nước ta,"APEC Việt Nam 2017  là loạt hội nghị trong khuôn khổ Diễn đàn Hợp tác Kinh tế Châu Á - Thái Bình Dương  ( APEC )  diễn ra từ đầu tháng 12 năm 2016 đến tháng 11 năm 2017 tại Đà Nẵng , Việt Nam và các thành phố lớn khác như Hà Nội , Nha Trang , Vinh , Ninh Bình , Hạ Long ( Quảng Ninh ) , Huế , Cần Thơ , Thành phố Hồ Chí Minh , Hội An ( Quảng Nam ) với chủ đề : "" Tạo động lực mới , cùng vun đắp tương lai chung "" .",173,Đà Nẵng
Vùng nào ở Bắc Kạn từng là căn cứ ATK trong kháng chiến chống Pháp,Bắc Kạn:  Căn cứ địa cách mạng ATK Chợ Đồn: Một trong những khu căn cứ của chủ tịch Hồ Chí Minh và các cán bộ cấp cao của Đảng Cộng sản Việt Nam trong kháng chiến chống thực dân Pháp.,35,Chợ Đồn
kỷ sư đã thiết kế nên tháp eiffel,"Vốn có tên nguyên thuỷ là Tháp 300 mét ( Tour de 300 mètres ) , công trình này do kỹ sư Gustave Eiffel và các đồng nghiệp của mình thiết kế và xây dựng từ năm 1887 tới năm 1889 nhân dịp Triển lãm thế giới năm 1889 , và cũng là dịp kỷ niệm 100 năm Cách mạng Pháp .",88,Gustave Eiffel
kinh đô đầu tiên của việt nam ở đâu,""" "" Hoa Lư là kinh đô đầu tiên của nhà nước phong kiến Trung ương tập quyền ở Việt Nam và là quê hương của vị Anh hùng dân tộc Đinh Bộ Lĩnh .",4,Hoa Lư
danh nhân nào từng là tướng tây sơn 80 tuổi vẫn cầm quân ra trận,"Nguyễn Văn Xuân từng là tướng Tây Sơn , sau theo hàng chúa Nguyễn Ánh , phục vụ hai đời vua Gia Long , Minh Mạng , hơn 80 tuổi vẫn cầm quân bảo vệ biên cương , có thể so với Lý Thường Kiệt .",0,Nguyễn Văn Xuân
Tỉnh duy nhất nào ở Tây Nguyên không có đường biên giới quốc tế,"Lâm Đồng là một trong năm tỉnh thuộc vùng Tây Nguyên, đồng thời là tỉnh có diện tích lớn thứ 7 cả nước tiếp giáp với vùng kinh tế trọng điểm phía nam. Nằm trên cao nguyên cao nhất của Tây Nguyên là Lâm Viên - Di Linh với độ cao 1500 mét so với mực nước biển và là tỉnh duy nhất ở Tây Nguyên không có đường biên giới quốc tế. Tỉnh lỵ là thành phố Đà Lạt nằm cách Thành phố Hồ Chí Minh 300 km về hướng Bắc, đồng thời cách cảng biển Nha Trang 210 km về hướng Tây. Năm 2010, Lâm Đồng là tỉnh đầu tiên của Tây Nguyên có 2 thành phố trực thuộc tỉnh (Đà Lạt, Bảo Lộc).",0,Lâm Đồng
Hà Sơn Bình là tên gọi cũ của hai tỉnh nào,"Hà Sơn Bình là một tỉnh từng tồn tại ở Bắc Bộ Việt Nam từ ngày 27 tháng 12 năm 1975 đến 12 tháng 8 năm 1991 trên cơ sở sáp nhập hai tỉnh Hà Tây và Hòa Bình. Tỉnh Hà Sơn Bình bắc giáp tỉnh Vĩnh Phú, đông bắc giáp thủ đô Hà Nội, đông giáp tỉnh Hải Hưng (bên kia sông Hồng), đông nam giáp tỉnh Hà Nam Ninh, nam giáp tỉnh Thanh Hóa, tây giáp tỉnh Sơn La.",147,Hòa Bình
vịnh bengan thuộc châu lục nào hiện nay,"Những vịnh nổi tiếng . Châu Á. - Vịnh Bengan , gần Bengal ( Ấn Độ / Bangladesh ) . - Bohai ( Trung Quốc ) .",23,"Châu Á. - Vịnh Bengan , gần Bengal ( Ấn Độ / Bangladesh"
con gái của marie cuire đã nhận được giải nobel về lĩnh vực gì,"Con gái của Marie , Irène Joliot-Curie , đã đoạt giải Nobel Hoá học vào năm 1935 , giúp họ thành cặp mẹ-con duy nhất cùng đoạt giải Nobel .",60,Hoá học
Khu lưu niệm Chủ tịch Tôn Đức Thắng toạ lạc tại thành phố nào của tỉnh An Giang,"Khu lưu niệm Chủ tịch Tôn Đức Thắng toạ lạc trên cù lao Ông Hổ , thuộc xã Mỹ Hoà Hưng , thành phố Long Xuyên , tỉnh An Giang .",87, thành phố Long Xuyên 
thành phố nào có nhiều tỷ phú nhất thế giới hiện nay,New York là nơi có số lượng tỷ phú cao nhất so với bất kỳ thành phố nào trên thế giới .,0,New York
Cầu Mỹ Thuận nối hai tỉnh nào với nhau,"Cầu Mỹ Thuận nối liền giữa hai tỉnh Tiền Giang và Vĩnh Long. Đầu cầu phía Bắc thuộc xã Hòa Hưng, huyện Cái Bè, tỉnh Tiền Giang; đầu cầu phía Nam thuộc xã Tân Hòa, thành phố Vĩnh Long, tỉnh Vĩnh Long. Vượt qua sông Tiền nối với tỉnh Tiền Giang.",50,Vĩnh Long
Gành Đá Đĩa thuộc tỉnh nào nước ta,"Gành Đá Đĩa là một danh thắng thiên nhiên kỳ thú về cảnh quan và độc đáo về địa chất ở Việt Nam , thắng cảnh này nằm tại xã An Ninh Đông , huyện Tuy An , tỉnh Phú Yên .",154,tỉnh Phú Yên .
Ai được tôn dùng là đức Thánh Trần,"Đức Thánh Nguyễn . Vì có nhiều công lớn chữa bệnh cho vua và nhân dân mà ông cùng với Trần Hưng Đạo sau này là những nhân vật lịch sử có thật được người Việt tôn sùng là "" đức Thánh Nguyễn , đức Thánh Trần "" .",86,Trần Hưng Đạo
paella là đặc sản cơm thập cẩm của nước nào,"Paella là một món cơm thập cẩm , rất đặc trưng của Tây Ban Nha và các nước có sử dụng tiếng Tây Ban Nha .",51,Tây Ban Nha
CEO của Google là ai,"Một vài công ty con bao gồm Google , Calico , GV , Google Capital , X , Google Fiber và Nest Labs .  Một số công ty con của Alphabet đã đổi tên kể từ khi rời Google - Google Ventures trở thành GV , Google Life Sciences trở thành Verily và Google X trở thành X. Sau khi tái cơ cấu Page trở thành CEO của Alphabet trong khi Sundar Pichai thế vào vị trí của ông là CEO của Google .",322,Sundar Pichai
"Tên con đèo được mệnh danh là ""thiên hạ đệ nhất hùng quan""","Du lịch . Tham quan . Phía bắc thành phố được bao bọc bởi núi cao với đèo Hải Vân được mệnh danh là "" "" Thiên hạ đệ nhất hùng quan "" "" .",70,đèo Hải Vân
chùa shwedagon nằm ở thành phố nào của myanmar,"Văn hoá . Tôn giáo . Chùa Shwedagon ( chùa vàng ) ở Yangon là chùa tháp lớn nhất và đẹp nhất Myanmar , được hình thành từ 2500 năm trước và được các triều đạo phong kiến Miến Điện tu bổ , mở rộng dần .",52,Yangon
Trạng nguyên nào của nước ta được dân gian gọi là Trạng Lợn,"Cho đến ngày nay, các nhà sử học vẫn khó có thể xác định chính xác và đầy đủ danh tính của Trạng Lợn. Có nguồn cho rằng trạng Lợn là Trạng nguyên Nguyễn Nghiêu Tư, nguồn khác cho rằng ông tên là Dương Đình Chung. Tuy nhiên, tất cả đều thống nhất rằng thời kỳ mà Trạng Lợn sống là đời vua Lê Thánh Tông.",146,Nguyễn Nghiêu Tư
thủ phủ của Aktobe hiện nay là thành phố nào,"Aktobe là một tỉnh của nước cộng hoà Kazakhstan , thủ phủ là thành phố Aktobe , đồng thời là đô thị lớn nhất tỉnh , với dân số 340.000 người .",61,thành phố Aktobe
tỉnh lỵ của tỉnh phú yên hiện nay,"Lịch sử . Ngày 30 tháng 6 năm 1989 , tái lập tỉnh Phú Yên từ tỉnh Phú Khánh , thị xã Tuy Hoà trở lại là tỉnh lị tỉnh Phú Yên , bao gồm 6 phường 1 , 2 , 3 , 4 , 5 , 6 và 10 xã : Bình Kiến , Bình Ngọc , Hoà An , Hoà Định Đông , Hoà Định Tây , Hoà Hội , Hoà Kiến , Hoà Quang , Hoà Thắng , Hoà Trị .",78,thị xã Tuy Hoà
người nào là chủ tịch hiện nay của tỉnh Thái Bình,Đặng Trọng Thăng ( sinh năm 1960 ) là một chính khách người Việt Nam . Ông hiện là Chủ tịch Uỷ ban nhân dân tỉnh Thái Bình.Ông từng là Chủ tịch Hội đồng nhân dân tỉnh Thái Bình .,0,Đặng Trọng Thăng
Ngày khai giảng thường niên là ngày nào của tháng 9,"5/9 là ngày tựu trường với tất cả học sinh, sinh viên của Việt Nam, ...",0,5/9
Chùa Bà hiện tọa lạc tại thành phố nào của Bình Dương,"Chùa Bà Thiên Hậu ở Bình Dương (gọi tắt là chùa Bà Bình Dương) hay miếu bà Thiên Hậu, có tên chữ là Thiên Hậu Cung; hiện tọa lạc tại số 4 đường Nguyễn Du, thành phố Thủ Dầu Một, tỉnh Bình Dương, Việt Nam. Đây là ngôi miếu do các ban người Việt gốc Hoa tạo lập để thờ vị nữ thần là Thiên Hậu Thánh Mẫu.",155,thành phố Thủ Dầu Một
thành phố nào là thủ đô iran hiện nay,"Tehran , với dân số 7,7 triệu là thành phố lớn nhất ở Iran và là thành phố thủ đô .",0,Tehran
